title,company,location,role_type,salary,source,url,date_posted,date_scraped,status,notes
Interior Designer,SBB BINAJAYA SDN BHD,"Sentul, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=8056cd3158d99fc5,2026-03-15T06:05:45.763Z,2026-03-15,New,
"LIGHTING DESIGNER, KUCHAI LAMA",AGENSI PEKERJAAN SHUE SDN BHD,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=4de522c42d4f37d3,2026-03-12T06:04:14.146Z,2026-03-15,New,
Mandarin Speaking Director of Design Excellence & Project Delivery,JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=be2c88a3c551deed,2026-03-11T09:13:52.904Z,2026-03-15,New,
Mandarin Speaking Chief Design Officer – Project & Team Oversight,JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=f92f477a1d46e3b3,2026-03-11T09:12:21.839Z,2026-03-15,New,
Mandarin Speaking Design Director – Interior Fit-Out & Millwork,JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=7d4e4922cdc4bb48,2026-03-10T09:46:41.796Z,2026-03-15,New,
Senior Interior Design,Career Horizons Sdn Bhd,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=f5c117a0bdc31eab,2026-03-10T08:47:43.676Z,2026-03-15,New,
Interior Designer (KL),Polymorph Psynergy,"Kuala Lumpur, Malaysia","Fresh graduate, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=c03c1723ea635d49,2026-03-09T14:56:04.642Z,2026-03-15,New,
Interior Design Internship,Betty and Wolff Design Sdn Bhd,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=b38ae184f0a75f58,2026-03-09T02:23:54.761Z,2026-03-15,New,
Interior Designer Intern,perfect pinnacle sdn bhd,"Kuala Lumpur, Malaysia",Internship,,Indeed,https://malaysia.indeed.com/viewjob?jk=a91f80dda575f332,2026-03-06T15:13:33.985Z,2026-03-15,New,
Interior Designer,UCSI University,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=75aff463e6e6fe51,2026-03-06T08:11:52.398Z,2026-03-15,New,
Interior Designer,FUKU,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=97a866e4a5cd7d7c,2026-03-06T03:39:51.025Z,2026-03-15,New,
Human Resources Executive,Lemonfridge Studio,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=f75f84b9096780dc,2026-03-06T02:42:46.106Z,2026-03-15,New,
Senior Interior Designer,Agensi Pekerjaan Joint Resources Sdn Bhd,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=2f3cba71a78c54b4,2026-03-04T10:03:15.645Z,2026-03-15,New,
Junior Interior Designer,Agensi Pekerjaan Joint Resources Sdn Bhd,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=238efa24f1d1c45a,2026-03-04T10:01:06.501Z,2026-03-15,New,
Interior Designer,Gogobuddy Recruitment,"Sri Petaling, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=ccc83eb5448bac47,2026-03-04T01:53:16.752Z,2026-03-15,New,
Mandarin Speaking Design Lead – Interior Architecture & Client Experience,JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=24a5d64e3b3363b6,2026-03-03T09:51:04.362Z,2026-03-15,New,
Mandarin Speaking Interior Fit-Out Project Lead,JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=12b96bfca1882f17,2026-03-02T09:45:42.221Z,2026-03-15,New,
Studio Coordinator / Admin (Design Studio),DMZ Consultancy Sdn Bhd,"Kuala Lumpur, Malaysia","Permanent, Fresh graduate, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=d36cfa17a08112cd,2026-03-02T08:47:20.852Z,2026-03-15,New,
Interior Designer (Mandarin Speaker),The Recruiters Space,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=94447f97fc2ce12d,2026-03-02T03:55:48.228Z,2026-03-15,New,
Interior Designer (Design & Build/ Interior Construction) in Taman Danau Desa KL,Polymorph Psynergy,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=545868e3d4ba9a0b,2026-03-01T00:42:09.231Z,2026-03-15,New,
PROJECT DESIGNER,Signature Alliance Group Sdn Bhd,"Kuchai Lama, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=f89cd1c74688c654,2026-02-27T04:10:14.649Z,2026-03-15,New,
Mandarin Speaking Design Division Lead – Interior & Architectural Projects,JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=dd0fb5bae4aacf4e,2026-02-25T09:30:48.529Z,2026-03-15,New,
Site Supervisor (Interior Design),JCS Design Project Sdn Bhd,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=397a26d449376587,2026-02-25T08:54:01.896Z,2026-03-15,New,
Fit Out cum Project Executive,VINSOON GROUP,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=d4d514b62b6421c5,2026-02-25T02:55:50.857Z,2026-03-15,New,
Project Executive (Fit-Out & Maintenance),VINSOON GROUP,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=7d280a3e76b10c66,2026-02-24T10:22:45.629Z,2026-03-15,New,
Technical Designer,BR Design Sdn. Bhd.,"Kuala Lumpur, Malaysia",Permanent,,Indeed,https://malaysia.indeed.com/viewjob?jk=bb89db8a136c9b80,2026-02-24T05:12:43.701Z,2026-03-15,New,
Intern Interior Designer 实习室内设计师 - Mandarin Speaker,JCS Design Project Sdn Bhd,"Sri Petaling, Malaysia",Internship,,Indeed,https://malaysia.indeed.com/viewjob?jk=ee325d26700f94ed,2026-02-24T04:04:08.790Z,2026-03-15,New,
Senior Interior Designer,JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=1b085ed664a545cc,2026-02-23T09:12:03.999Z,2026-03-15,New,
Senior Project Director (Mandarin),JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=813ab890d5b07ebd,2026-02-23T09:07:00.738Z,2026-03-15,New,
Project Manager,JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=23f50119dd400bfb,2026-02-23T09:05:52.733Z,2026-03-15,New,
Project Interior Designer (Design & Build) in Taman Danau Desa KL,Polymorph Psynergy,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=28b09095d0a0bee9,2026-02-22T02:00:21.713Z,2026-03-15,New,
Cabinetry Installer,mocof sdn bhd,"Kuala Lumpur, Malaysia","Part-time, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=2bf3c18b3d5ff6cc,2026-02-19T03:45:36.141Z,2026-03-15,New,
LIGHTING DESIGNER KUCHAI LAMA,Agensi pekerjaan ns shue sdn bhd,"Kuchai Lama, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=71c7bb177b662336,2026-02-15T04:37:08.607Z,2026-03-15,New,
Mandarin Speaking Design Director,JEV Management & Trading,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=ff6fe8a4e50eea48,2026-02-13T08:21:41.536Z,2026-03-15,New,
Project Executive (Interior / Architecture Products),Vesta Inovas Display Sdn Bhd,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=c984cbca7ee8a4a3,2026-02-09T02:29:40.377Z,2026-03-15,New,
Cost Manager - Hospitality / Hotel,Turner & Townsend Pty Limited,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=a8f04391eda86002,2026-02-08T01:17:48.259Z,2026-03-15,New,
Interiors Designer (3D Max/Coohom/SketchUp/Corona) - KL Gateway (LRT),AG STAFFING,"Kuala Lumpur, Malaysia",Permanent,,Indeed,https://malaysia.indeed.com/viewjob?jk=5abb447b45dcc7bf,2026-01-29T03:55:58.850Z,2026-03-15,New,
Intermediate Interior Designer,Generator Creative Studio,"Kuala Lumpur, Malaysia",Full-time,,Indeed,https://malaysia.indeed.com/viewjob?jk=5d05c30f77701a6f,2026-01-26T02:18:22.395Z,2026-03-15,New,
Interior Designer (Hybrid) in KL,Polymorph Psynergy,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=a3c2427af920505a,2026-01-22T04:24:16.795Z,2026-03-15,New,
Internship - Architectural Designer,Ruang Reka Works,"Kuala Lumpur, Malaysia",Internship,,Indeed,https://malaysia.indeed.com/viewjob?jk=48ddd877ece3310d,2026-01-19T04:31:32.143Z,2026-03-15,New,
EXHIBITION & INTERIOR DESIGNER,6 DEGREES DESIGN SDN BHD,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=c607a65685768504,2026-01-09T09:27:59.997Z,2026-03-15,New,
Interior Designer,Rest N Go Sdn Bhd,"Kepong, Malaysia",Permanent,,Indeed,https://malaysia.indeed.com/viewjob?jk=66b554d7a2f6e2d6,2026-01-08T06:27:10.847Z,2026-03-15,New,
Client Services Executive,Thinkscape Design Works Sdn Bhd,"Kuala Lumpur, Malaysia","Permanent, Full-time",,Indeed,https://malaysia.indeed.com/viewjob?jk=54233712b9a6cfb0,2026-01-08T02:52:27.239Z,2026-03-15,New,
Sr Interior Designers (High-End Residential/Commercial Design),AG STAFFING,"Kuala Lumpur, Malaysia",Permanent,,Indeed,https://malaysia.indeed.com/viewjob?jk=bcc77001bc306606,2026-01-06T08:34:31.529Z,2026-03-15,New,
Interior Designer (3D Max/Coohom/SketchUp/Corona) - KL Gateway (LRT),AG STAFFING,"Kuala Lumpur, Malaysia",Permanent,,Indeed,https://malaysia.indeed.com/viewjob?jk=3795134ee4211e76,2025-12-29T07:15:55.713Z,2026-03-15,New,
